GAME_ID,GAME_DATE,TEAM_1,TEAM_2,PTS_1,PTS_2,TOTAL_POINTS,MATCHUP_1,MATCHUP_2,TEAM_ROWS
1022500258,2025-09-01,ATL,CON,93,76,169,ATL @ CON,CON vs. ATL,2
1022500259,2025-09-01,MIN,DAL,96,71,167,MIN vs. DAL,DAL @ MIN,2
1022500260,2025-09-01,SEA,LAS,85,91,176,SEA vs. LAS,LAS @ SEA,2
1022500261,2025-09-02,GSV,NYL,66,58,124,GSV vs. NYL,NYL @ GSV,2
1022500262,2025-09-02,IND,PHX,79,85,164,IND @ PHX,PHX vs. IND,2
1022500263,2025-09-03,ATL,LAS,86,75,161,ATL vs. LAS,LAS @ ATL,2
1022500264,2025-09-03,CHI,CON,88,64,152,CHI vs. CON,CON @ CHI,2
1022500265,2025-09-04,WAS,PHX,69,75,144,WAS vs. PHX,PHX @ WAS,2
1022500266,2025-09-04,GSV,DAL,84,80,164,GSV vs. DAL,DAL @ GSV,2
1022500267,2025-09-04,MIN,LVA,87,97,184,MIN @ LVA,LVA vs. MIN,2
1022500268,2025-09-05,ATL,LAS,104,85,189,ATL vs. LAS,LAS @ ATL,2
1022500269,2025-09-05,CHI,IND,77,97,174,CHI @ IND,IND vs. CHI,2
1022500270,2025-09-05,SEA,NYL,76,84,160,SEA vs. NYL,NYL @ SEA,2
1022500271,2025-09-06,CON,PHX,87,84,171,CON vs. PHX,PHX @ CON,2
1022500272,2025-09-06,GSV,MIN,72,78,150,GSV vs. MIN,MIN @ GSV,2
1022500273,2025-09-07,IND,WAS,94,65,159,IND @ WAS,WAS vs. IND,2
1022500274,2025-09-07,DAL,LAS,77,91,168,DAL @ LAS,LAS vs. DAL,2
1022500275,2025-09-07,CHI,LVA,66,80,146,CHI @ LVA,LVA vs. CHI,2
1022500276,2025-09-08,ATL,CON,87,62,149,ATL vs. CON,CON @ ATL,2
1022500277,2025-09-09,WAS,NYL,66,75,141,WAS @ NYL,NYL vs. WAS,2
1022500278,2025-09-09,IND,MIN,83,72,155,IND vs. MIN,MIN @ IND,2
1022500279,2025-09-09,CHI,LVA,61,92,153,CHI @ LVA,LVA vs. CHI,2
1022500280,2025-09-09,LAS,PHX,88,83,171,LAS @ PHX,PHX vs. LAS,2
1022500281,2025-09-09,GSV,SEA,73,74,147,GSV @ SEA,SEA vs. GSV,2
1022500282,2025-09-10,ATL,CON,88,72,160,ATL @ CON,CON vs. ATL,2
1022500283,2025-09-11,CHI,NYL,86,91,177,CHI vs. NYL,NYL @ CHI,2
1022500284,2025-09-11,DAL,PHX,97,76,173,DAL vs. PHX,PHX @ DAL,2
1022500285,2025-09-11,GSV,MIN,53,72,125,GSV @ MIN,MIN vs. GSV,2
1022500286,2025-09-11,LAS,LVA,75,103,178,LAS vs. LVA,LVA @ LAS,2
1022600001,2026-05-08,CON,NYL,75,106,181,CON @ NYL,NYL vs. CON,2
1022600002,2026-05-08,TOR,WAS,65,68,133,TOR vs. WAS,WAS @ TOR,2
1022600003,2026-05-08,GSV,SEA,91,80,171,GSV @ SEA,SEA vs. GSV,2
1022600004,2026-05-09,IND,DAL,104,107,211,IND vs. DAL,DAL @ IND,2
1022600005,2026-05-09,LVA,PHX,66,99,165,LVA vs. PHX,PHX @ LVA,2
